year,circuit,driver,lap_number,lap_time_seconds,compound,tyre_life,is_pit_lap,track_status,lap_time_delta,tyre_age_normalised,relative_position,laps_remaining,compound_encoded,pit_in_next_3_laps
2019,Canada,GIO,17,78.038,HARD,17.0,0,1.0,0.20600000000000307,0.4473684210526316,0.5,53,2,0
2019,Canada,GIO,18,78.157,HARD,18.0,0,1.0,0.32500000000000284,0.47368421052631576,0.5,52,2,0
2019,Canada,GIO,19,77.805,HARD,19.0,0,1.0,-0.026999999999986812,0.5,0.5,51,2,0
2019,Canada,GIO,20,77.713,HARD,20.0,0,1.0,-0.11899999999999977,0.5263157894736842,0.5,50,2,0
2019,Canada,GIO,21,77.842,HARD,21.0,0,1.0,0.010000000000005116,0.5526315789473685,0.5,49,2,0
2019,Canada,GIO,22,77.914,HARD,22.0,0,1.0,0.08200000000000784,0.5789473684210527,0.5,48,2,0
2019,Canada,GIO,23,77.843,HARD,23.0,0,1.0,0.01100000000000989,0.6052631578947368,0.5,47,2,0
2019,Canada,GIO,24,77.962,HARD,24.0,0,1.0,0.13000000000000966,0.631578947368421,0.5,46,2,0
2019,Canada,GIO,25,77.759,HARD,25.0,0,1.0,-0.07299999999999329,0.6578947368421053,0.5,45,2,0
2019,Canada,GIO,26,77.602,HARD,26.0,0,1.0,-0.22999999999998977,0.6842105263157895,0.5,44,2,0
2019,Canada,GIO,27,86.411,HARD,27.0,0,1.0,8.579000000000008,0.7105263157894737,0.55,43,2,0
